id,brand,slug,status,timestamp,errors
escher,埃舍尔Escher,escher,processing,2026-05-25 07:34:33,
escher,埃舍尔Escher,escher,error,2026-05-25 07:34:33,MISSING_HREFLANG: 缺少hreflang标签
escher,埃舍尔Escher,escher,processing,2026-05-25 07:34:53,
escher,埃舍尔Escher,escher,done,2026-05-25 07:34:53,
escher,埃舍尔Escher,escher,processing,2026-05-25 07:46:33,
escher,埃舍尔Escher,escher,error,2026-05-25 07:46:34,HREFLANG_BAD: 期望的hreflang href未找到: https://pinpai.ai.in/escher/
escher,埃舍尔Escher,escher,processing,2026-05-25 07:47:06,
escher,埃舍尔Escher,escher,done,2026-05-25 07:47:06,
escher,埃舍尔Escher,escher,processing,2026-05-25 07:47:57,
escher,埃舍尔Escher,escher,done,2026-05-25 07:47:57,
louis-vuitton,Louis Vuitton,louis-vuitton,processing,2026-05-25 10:00:30,
louis-vuitton,Louis Vuitton,louis-vuitton,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1854' is not of type 'integer'; main_business: [] s
hermès,Hermès,hermès,processing,2026-05-25 10:00:30,
hermès,Hermès,hermès,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1837' is not of type 'integer'; main_business: [] s
gucci,Gucci,gucci,processing,2026-05-25 10:00:30,
gucci,Gucci,gucci,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1921' is not of type 'integer'; main_business: [] s
chanel,Chanel,chanel,processing,2026-05-25 10:00:30,
chanel,Chanel,chanel,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1910' is not of type 'integer'; main_business: [] s
christian-dior,Christian Dior,christian-dior,processing,2026-05-25 10:00:30,
christian-dior,Christian Dior,christian-dior,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1946' is not of type 'integer'; main_business: [] s
prada,Prada,prada,processing,2026-05-25 10:00:30,
prada,Prada,prada,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1913' is not of type 'integer'; main_business: [] s
balenciaga,Balenciaga,balenciaga,processing,2026-05-25 10:00:30,
balenciaga,Balenciaga,balenciaga,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1917' is not of type 'integer'; main_business: [] s
zara,Zara,zara,processing,2026-05-25 10:00:30,
zara,Zara,zara,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1975' is not of type 'integer'; main_business: [] s
uniqlo,Uniqlo,uniqlo,processing,2026-05-25 10:00:30,
uniqlo,Uniqlo,uniqlo,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1949' is not of type 'integer'; main_business: [] s
h-m,H&M,h-m,processing,2026-05-25 10:00:30,
h-m,H&M,h-m,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1947' is not of type 'integer'; main_business: [] s
levi-s,Levi's,levi-s,processing,2026-05-25 10:00:30,
levi-s,Levi's,levi-s,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1853' is not of type 'integer'; main_business: [] s
calvin-klein,Calvin Klein,calvin-klein,processing,2026-05-25 10:00:30,
calvin-klein,Calvin Klein,calvin-klein,error,2026-05-25 10:00:30,current_slogan: '' is too short; founding_year: '1968' is not of type 'integer'; main_business: [] s
l-oréal,L'Oréal,l-oréal,processing,2026-05-25 10:00:30,
l-oréal,L'Oréal,l-oréal,error,2026-05-25 10:00:30,current_slogan: '' is too short; founder: '' should be non-empty; founding_location: '' is too short
estée-lauder,Estée Lauder,estée-lauder,processing,2026-05-25 10:00:30,
estée-lauder,Estée Lauder,estée-lauder,error,2026-05-25 10:00:30,current_slogan: '' is too short; founder: '' should be non-empty; founding_location: '' is too short
shiseido,Shiseido,shiseido,processing,2026-05-25 10:00:30,
shiseido,Shiseido,shiseido,error,2026-05-25 10:00:30,current_slogan: '' is too short; founder: '' should be non-empty; founding_location: '' is too short
lancôme,Lancôme,lancôme,processing,2026-05-25 10:00:30,
lancôme,Lancôme,lancôme,error,2026-05-25 10:00:30,current_slogan: '' is too short; founder: '' should be non-empty; founding_location: '' is too short
mac-cosmetics,MAC Cosmetics,mac-cosmetics,processing,2026-05-25 10:00:30,
mac-cosmetics,MAC Cosmetics,mac-cosmetics,error,2026-05-25 10:00:30,current_slogan: '' is too short; founder: '' should be non-empty; founding_location: '' is too short
rolex,Rolex,rolex,processing,2026-05-25 10:00:30,
